,name,essround,edition,cntry,gndr,yrbrn,rlgblg,ctzcntr,edulvlb,edulvlfb,edulvlmb,imsmetn,impcntr,imbgeco,imueclt,imwbcnt,age,edu_lv,edu_lvf,edu_lvm,imsmetn_lv,impcntr_lv,imbgeco_lv,imueclt_lv,imwbcnt_lv,edu_overall,edu_difference,edu_mobility,attitude_lv,edu_lvp,attitude_b,region,edu_mobility_onehot,edu_up,edu_down
37009,ESS8e02_1,8,2.1,PL,1.0,1963,1.0,Yes,"Vocational ISCED 3C < 2 years, no access ISCED 5","Vocational ISCED 3C < 2 years, no access ISCED 5","ISCED 1, completed primary education",Allow some,Allow a few,4,6,4,56.0,3.0,3.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,2.3333333333333335,1.3333333333333333,1.0,-1.0,2.0,0,Eastern Europe,1,1,0
37011,ESS8e02_1,8,2.1,PL,0.0,1987,1.0,Yes,ISCED 4 programmes without access ISCED 5,"Vocational ISCED 3C < 2 years, no access ISCED 5","Vocational ISCED 3C < 2 years, no access ISCED 5",Allow some,Allow some,Bad for the economy,Cultural life enriched,2,32.0,4.0,3.0,3.0,1.0,1.0,-1.0,1.0,-2.0,3.3333333333333335,0.6666666666666666,1.0,0.0,3.0,0,Eastern Europe,1,1,0
37013,ESS8e02_1,8,2.1,PL,0.0,1992,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","Vocational ISCED 3C < 2 years, no access ISCED 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Allow a few,Allow none,1,2,2,27.0,8.0,3.0,5.0,-1.0,-2.0,-2.0,-2.0,-2.0,5.166666666666667,3.0,3.5,-9.0,4.0,0,Eastern Europe,1,1,0
37015,ESS8e02_1,8,2.1,PL,1.0,1993,0.0,Yes,"General ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3C >= 2 years, no access ISCED 5",ISCED 4 programmes without access ISCED 5,Allow some,Allow a few,8,3,4,26.0,5.0,3.5,4.0,1.0,-1.0,2.0,-1.0,-1.0,4.083333333333333,0.8333333333333334,1.0,0.0,4.0,0,Eastern Europe,1,1,0
37017,ESS8e02_1,8,2.1,PL,0.0,1997,1.0,Yes,"General ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3C < 2 years, no access ISCED 5","ISCED 5A long, master/equivalent from upper/single tier tertiary",Allow many to come and live here,Allow some,5,6,6,22.0,5.0,3.0,7.5,2.0,1.0,0.0,1.0,1.0,5.083333333333333,3.0,-0.5,5.0,5.0,1,Eastern Europe,-1,0,1
37018,ESS8e02_1,8,2.1,PL,0.0,1938,1.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow a few,6,7,5,81.0,2.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.5,1.0,1.5,2.0,1.0,1,Eastern Europe,1,1,0
37021,ESS8e02_1,8,2.1,PL,1.0,1989,0.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","ISCED 5A long, master/equivalent from upper/single tier tertiary","General ISCED 3A, access upper tier ISCED 5A/all 5",Allow some,Allow a few,Good for the economy,Cultural life enriched,8,30.0,6.0,7.5,4.75,1.0,-1.0,1.0,1.0,2.0,6.25,1.8333333333333333,0.375,4.0,6.0,1,Eastern Europe,1,1,0
37022,ESS8e02_1,8,2.1,PL,0.0,1957,1.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3C < 2 years, no access ISCED 5",Allow some,Allow some,3,7,4,62.0,5.0,5.0,3.0,1.0,1.0,-1.0,1.0,-1.0,4.333333333333333,1.3333333333333333,1.0,1.0,4.0,1,Eastern Europe,1,1,0
37023,ESS8e02_1,8,2.1,PL,0.0,1944,1.0,Yes,"Vocational ISCED 3C >= 2 years, no access ISCED 5","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow a few,Allow a few,Good for the economy,Cultural life undermined,Worse place to live,75.0,4.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.8333333333333333,1.6666666666666667,2.5,-3.0,1.0,0,Eastern Europe,1,1,0
37024,ESS8e02_1,8,2.1,PL,1.0,1980,1.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","Vocational ISCED 3C < 2 years, no access ISCED 5",ISCED 4 programmes without access ISCED 5,Allow a few,Allow some,8,7,7,39.0,6.0,3.0,4.0,-1.0,1.0,2.0,1.0,1.0,4.5,2.3333333333333335,3.0,4.0,4.0,1,Eastern Europe,1,1,0
37025,ESS8e02_1,8,2.1,PL,0.0,1994,1.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","Vocational ISCED 3C < 2 years, no access ISCED 5","ISCED 5A long, master/equivalent from upper/single tier tertiary",Allow some,Allow a few,Don't know,3,Don't know,25.0,6.0,3.0,7.5,1.0,-1.0,0.0,-1.0,0.0,5.666666666666667,3.0,1.25,-1.0,5.0,0,Eastern Europe,1,1,0
37027,ESS8e02_1,8,2.1,PL,1.0,1980,0.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","General ISCED 2A, access ISCED 3A general/all 3","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Allow a few,Allow a few,5,7,2,39.0,5.0,2.5,5.0,-1.0,-1.0,0.0,1.0,-2.0,4.166666666666667,1.6666666666666667,1.25,-3.0,4.0,0,Eastern Europe,1,1,0
37028,ESS8e02_1,8,2.1,PL,0.0,1958,1.0,Yes,"Vocational ISCED 3C >= 2 years, no access ISCED 5","Vocational ISCED 3C >= 2 years, no access ISCED 5","General ISCED 2A, access ISCED 3A general/all 3",Allow a few,Allow none,5,7,4,61.0,4.0,3.5,2.5,-1.0,-2.0,0.0,1.0,-1.0,3.1666666666666665,0.6666666666666666,0.5,-3.0,3.0,0,Eastern Europe,1,1,0
37030,ESS8e02_1,8,2.1,PL,0.0,1941,1.0,Yes,"ISCED 5B short, advanced vocational qualifications","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","General ISCED 3A, access upper tier ISCED 5A/all 5",Allow many to come and live here,Allow some,7,6,6,78.0,5.0,5.0,4.75,2.0,1.0,1.0,1.0,1.0,4.916666666666667,0.16666666666666666,0.125,6.0,5.0,1,Eastern Europe,1,1,0
37031,ESS8e02_1,8,2.1,PL,1.0,1968,1.0,Yes,"Vocational ISCED 3C < 2 years, no access ISCED 5","General ISCED 2A, access ISCED 3A general/all 3","General ISCED 2A, access ISCED 3A general/all 3",Allow some,Allow some,8,5,7,51.0,3.0,2.5,2.5,1.0,1.0,2.0,0.0,1.0,2.6666666666666665,0.3333333333333333,0.5,5.0,2.0,1,Eastern Europe,1,1,0
37032,ESS8e02_1,8,2.1,PL,1.0,1959,1.0,Yes,"Vocational ISCED 3C < 2 years, no access ISCED 5","General ISCED 2A, access ISCED 3A general/all 3","Vocational ISCED 3C < 2 years, no access ISCED 5",Allow a few,Allow a few,4,5,5,60.0,3.0,2.5,3.0,-1.0,-1.0,-1.0,0.0,0.0,2.8333333333333335,0.3333333333333333,0.25,-3.0,3.0,0,Eastern Europe,1,1,0
37033,ESS8e02_1,8,2.1,PL,1.0,1994,1.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3C < 2 years, no access ISCED 5",Allow some,Allow some,8,Cultural life enriched,7,25.0,5.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,4.333333333333333,1.3333333333333333,1.0,6.0,4.0,1,Eastern Europe,1,1,0
37035,ESS8e02_1,8,2.1,PL,1.0,1974,1.0,Yes,ISCED 4 programmes without access ISCED 5,"General ISCED 2A, access ISCED 3A general/all 3","General ISCED 2A, access ISCED 3A general/all 3",Allow a few,Allow none,Bad for the economy,2,4,45.0,4.0,2.5,2.5,-1.0,-2.0,-1.0,-2.0,-1.0,3.0,1.0,1.5,-7.0,2.0,0,Eastern Europe,1,1,0
37037,ESS8e02_1,8,2.1,PL,0.0,1958,1.0,Yes,"General ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3C < 2 years, no access ISCED 5","General ISCED 3A, access upper tier ISCED 5A/all 5",Allow a few,Allow a few,8,5,9,61.0,5.0,3.0,4.75,-1.0,-1.0,2.0,0.0,2.0,4.166666666666667,1.1666666666666667,0.875,2.0,4.0,1,Eastern Europe,1,1,0
37038,ESS8e02_1,8,2.1,PL,0.0,1988,1.0,Yes,"ISCED 5A medium, bachelor/equivalent from lower tier tertiary","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Allow some,Allow some,5,4,6,31.0,6.0,5.0,5.0,1.0,1.0,0.0,-1.0,1.0,5.333333333333333,0.6666666666666666,1.0,2.0,5.0,1,Eastern Europe,1,1,0
37039,ESS8e02_1,8,2.1,PL,0.0,1990,0.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","Vocational ISCED 3C < 2 years, no access ISCED 5","Vocational ISCED 3C < 2 years, no access ISCED 5",Allow a few,Allow none,2,Don't know,5,29.0,2.0,3.0,3.0,-1.0,-2.0,-2.0,0.0,0.0,2.8333333333333335,0.3333333333333333,-0.5,-5.0,3.0,0,Eastern Europe,-1,0,1
37041,ESS8e02_1,8,2.1,PL,1.0,1992,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","Vocational ISCED 3C < 2 years, no access ISCED 5","ISCED 5A long, master/equivalent from upper/single tier tertiary",Allow many to come and live here,Allow a few,8,5,6,27.0,8.0,3.0,7.5,2.0,-1.0,2.0,0.0,1.0,6.0,3.0,2.25,4.0,5.0,1,Eastern Europe,1,1,0
37042,ESS8e02_1,8,2.1,PL,0.0,1996,1.0,Yes,"General ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3C >= 2 years, no access ISCED 5","Vocational ISCED 3C >= 2 years, no access ISCED 5",Allow many to come and live here,Allow some,8,8,8,23.0,5.0,3.5,3.5,2.0,1.0,2.0,2.0,2.0,3.9166666666666665,0.8333333333333334,1.25,9.0,4.0,1,Eastern Europe,1,1,0
37043,ESS8e02_1,8,2.1,PL,0.0,1981,1.0,Yes,"ISCED 5A medium, bachelor/equivalent from lower tier tertiary","Vocational ISCED 3C >= 2 years, no access ISCED 5","Vocational ISCED 3C < 2 years, no access ISCED 5",Allow some,Allow some,9,9,8,38.0,6.0,3.5,3.0,1.0,1.0,2.0,2.0,2.0,4.166666666666667,2.0,2.75,8.0,3.0,1,Eastern Europe,1,1,0
37045,ESS8e02_1,8,2.1,PL,1.0,1964,1.0,Yes,ISCED 4 programmes without access ISCED 5,"General ISCED 2A, access ISCED 3A general/all 3","General ISCED 2A, access ISCED 3A general/all 3",Allow a few,Allow a few,6,7,5,55.0,4.0,2.5,2.5,-1.0,-1.0,1.0,1.0,0.0,3.0,1.0,1.5,0.0,2.0,0,Eastern Europe,1,1,0
37046,ESS8e02_1,8,2.1,PL,1.0,1987,0.0,Yes,"General ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5A long, master/equivalent from upper/single tier tertiary",Allow a few,Allow a few,Don't know,5,6,32.0,5.0,7.5,7.5,-1.0,-1.0,0.0,0.0,1.0,6.583333333333333,1.8333333333333333,-2.75,-1.0,8.0,0,Eastern Europe,-1,0,1
37047,ESS8e02_1,8,2.1,PL,1.0,1984,1.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","General ISCED 2A, access ISCED 3A general/all 3","General ISCED 2A, access ISCED 3A general/all 3",Allow a few,Allow a few,5,4,5,35.0,2.0,2.5,2.5,-1.0,-1.0,0.0,-1.0,0.0,2.5,0.0,0.0,-3.0,2.0,0,Eastern Europe,0,0,0
37048,ESS8e02_1,8,2.1,PL,1.0,1982,1.0,Yes,"Vocational ISCED 3C < 2 years, no access ISCED 5","Vocational ISCED 3C < 2 years, no access ISCED 5","General ISCED 2A, access ISCED 3A general/all 3",Allow some,Allow a few,9,9,8,37.0,3.0,3.0,2.5,1.0,-1.0,2.0,2.0,2.0,2.8333333333333335,0.3333333333333333,0.25,6.0,3.0,1,Eastern Europe,1,1,0
37049,ESS8e02_1,8,2.1,PL,1.0,1936,1.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow none,Allow none,2,Don't know,Don't know,83.0,2.0,1.0,1.0,-2.0,-2.0,-2.0,0.0,0.0,1.5,1.0,1.5,-6.0,1.0,0,Eastern Europe,1,1,0
